Overlap with Same Direction	Overlap with Opposite Direction	Unique to Eczema	Unique to Psoriasis
RNF10	EEF1D	UBL7 down	SSPN up
RBM4B	UBE2D3	RSPH10B2///RSPH10B up	AGL up
N4BP2L2	HEATR1	STK10 down	RNF11 down
TNRC6B	SAMD4B	WLS down	NCBP2 down
RAPGEF2	MPZL1	LAPTM5 down	SSPO up
GPM6B	NFIC	NAA60 down	GTF2IP1 down
SMAP2	RXRA	FKBP8 down	HSPA9 down
DLGAP4	TRIOBP	SMG7 up	HSPA8 down
ZNF471	METTL5	OTUD7B up	FABP5P3 down
RALGAPA1	COX5B	HBA2///HBA1 down	LGALS3 up
ARHGEF10	ANKRD11	VAC14 down	UBE2Q2 up
MAPKAPK3	XBP1	AP1M1 down	PMM2 down
RAB5C	CNOT7	JRKL up	SQLE down
STK4	RUFY3	GRINA down	SLC50A1 down
GIPC1	.	BCAT1 down	KIAA0907 up
BRD7	.	LOC105373878 up	STK26 down
GPATCH3	.	GMIP down	ZNF703 up
FOXP1-IT1	.	SNAP23 up	PIK3CA up
RBM42	.	TRAPPC1 down	PPP4C down
SAP30L	.	CCND3 down	HSPA4 down
L3MBTL1	.	MAZ down	ZNF706 up
BOK	.	TUBE1 up	ZNF704 up
KPNA1	.	RC3H2 down	PCSK2 up
NUCKS1	.	KRR1 up	CRBN up
MSANTD2	.	XPO1 up	SPTLC1 down
RPS27L	.	DGAT1 down	TMEM57 down
QSOX1	.	LOC101928277 up	FOXQ1 up
LUC7L	.	TMEM267 up	DNASE2 up
ASXL1	.	H3F3A up	TMEM185B down
GRB2	.	FTX up	C2CD5 up
IFT122	.	ZNF709 up	XPC up
CCDC90B	.	TP53I3 down	SP1 up
SUPT20H	.	COMMD9 down	SP2 down
FAF1	.	GRN down	SP4 up
C1orf52	.	TMEM151B down	CRB3 down
ARGLU1	.	PPIB down	MEG3 up
AGFG1	.	FLOT2 down	RAB40C up
CD74	.	ABHD17A down	RAB40B up
ATP6AP1L	.	RALBP1 down	PRRG4 down
ACOT7	.	LOC101928954 up	TRAPPC8 up
KATNBL1	.	NDUFAF7 up	COL7A1 up
CRYZL1	.	TAF10 down	PRRG3 up
CDKL3	.	F8A3///F8A2///F8A1 down	MAX down
ADAP2	.	TRIM52 up	C14orf93 up
SLC6A16	.	ARF3 down	ERI2 up
RAB1B	.	SMC3 down	KTI12 down
GNB2	.	HAB1 down	MFSD14B down
S100PBP	.	PARVG down	VPS8 up
RAB11FIP3	.	LOC727820 up	EEF2KMT down
PLGRKT	.	RNF26 down	MAF up
ABCA5	.	CORO1B down	ACLY down
EFHD2	.	TAF1A up	NSL1 up
IGIP	.	PGLS down	ATP2A2 down
MAP2K2	.	LMO7 down	PNISR up
ZNF493	.	FAM89B down	LOC100505715 up
SCAF11	.	MGRN1 down	NOP2 down
ANKRD10	.	WDR7 down	EDC3 up
C12orf76	.	ANKH up	GTF3C6 down
CBR4	.	CTNNB1 up	DENND4C up
YWHAB	.	RAB2A down	CD99L2 up
MID1IP1	.	ZNF14 up	PHLDA1 up
YWHAE	.	MAD1L1 down	CYP2U1 up
RSRP1	.	LOC286437 up	PAMR1 up
SMARCB1	.	JAG1 up	TIPRL down
COPE	.	IVNS1ABP up	LSS up
RP9	.	PAN3-AS1 up	PSMG2 down
CYBA	.	THAP6 down	PSMG3 down
CFL1	.	PNN up	GAR1 down
CHPT1	.	HLA-DMB down	DSEL up
CYTH4	.	CMTM7 up	ARL6IP4 down
NAF1	.	ZNF397 up	PPIH down
C12orf65	.	LOC107984534 up	C14orf2 down
TBC1D22A	.	SLC25A16 up	COL4A5 up
OSGEPL1	.	USP25 down	PYM1 down
TPT1-AS1	.	ARHGEF7 up	RBM12B up
PURA	.	SETD5 up	GARS down
EPM2AIP1	.	EEFSEC down	SNRPB2 down
PTPRA	.	TMUB1 down	RPS6KA4 down
.	.	PLBD2 down	PSMD14 down
.	.	ACTA2-AS1 up	TP53I13 up
.	.	CENPB down	PSMD11 down
.	.	DFFB up	PSMD10 down
.	.	YIF1B down	ITGAV up
.	.	PEX11G down	PSMD12 down
.	.	CEP350 down	PPIA down
.	.	ARID1B up	SLC28A3 down
.	.	C1QC down	MYO10 up
.	.	C1QA down	ITGAE down
.	.	YIPF3 down	FAM134A up
.	.	GGCX up	GALNT9 up
.	.	MPND down	NMRAL1P1 up
.	.	RPL27A up	SMAD4 up
.	.	SEC63 down	SMAD5 up
.	.	MPHOSPH8 up	ECHDC2 up
.	.	YPEL1 up	VAPA down
.	.	CDC42BPB down	NPHP3 up
.	.	C10orf54 down	NDUFAF4 down
.	.	PLXDC2 down	AMMECR1L up
.	.	TCF3 up	NDUFAF2 down
.	.	C6orf203 up	IGF2R up
.	.	MIR4458///MIR4458HG up	EXOSC10 up
.	.	NAPRT down	PLRG1 down
.	.	SNX29 down	CKS1B down
.	.	TMEM214 down	SLC36A1 down
.	.	NSD1 up	SARM1 up
.	.	ZNF506 up	ATE1 down
.	.	TMEM136 up	AIG1 down
.	.	ZNF333 up	NAPB up
.	.	RFC5 up	TUG1 up
.	.	RPLP2 up	PRADC1 down
.	.	STXBP2 down	GLTP down
.	.	PRPF40A down	TMEM59 up
.	.	TIGD7 up	TCEA2 up
.	.	GTF2IP20 up	TCEA3 up
.	.	MIR4800///MXD4 down	BARX2 down
.	.	IFT140 up	EFCAB1 up
.	.	ITGA9-AS1 up	TRMT44 up
.	.	CIB2 down	RGPD8 down
.	.	CST3 down	COX19 up
.	.	DOT1L down	LINC00672 up
.	.	SLC35C1 down	MOB4 down
.	.	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2 up	RAB11FIP2 up
.	.	TAPT1-AS1 up	EDA up
.	.	NUDT18 down	FAM156B up
.	.	JOSD2 down	FAM156A up
.	.	SYCP3 up	DCAKD up
.	.	KIF1C down	MCF2L up
.	.	ACP5 down	CCDC110 up
.	.	ALDH2 down	ADARB1 up
.	.	RGPD2///RGPD6///RGPD8///RGPD3///RGPD1///RGPD4///RGPD5///RANBP2 up	LEO1 down
.	.	BBIP1 up	CLPTM1 down
.	.	HLA-DPA1 down	ATP1A1 down
.	.	MTERF2 up	RAB7A up
.	.	USP1 down	CRTAP down
.	.	CHPF2 down	HMGB3 down
.	.	MTERF4 down	CPEB3 up
.	.	NFYC up	TUBB down
.	.	CDADC1 up	BEGAIN down
.	.	CCNB1IP1 up	RNU4-2 up
.	.	ZNF252P up	RAB2B up
.	.	KDM4A down	ARL15 up
.	.	ZNF213-AS1 up	BRIX1 down
.	.	CEBPZ up	ANGEL2 up
.	.	LOC101928747///RBMX///SNORD61 up	CLIP3 up
.	.	DHX8 down	PPP2R2D down
.	.	CES2 down	HOMER3 down
.	.	ZNF638-IT1///ZNF638 up	ISM1 up
.	.	UCP2 down	ERMARD up
.	.	DPH5 up	NUP93 down
.	.	CSTF3 up	NOLC1 down
.	.	ARHGAP30 down	CA14 up
.	.	ARHGAP35 up	CA12 up
.	.	DYNLL2 down	HIKESHI down
.	.	PPP4R2 up	PRICKLE4 down
.	.	CD37 down	MAF1 down
.	.	ZNF354C up	EIF4E2 down
.	.	DEAF1 down	NIPAL4 down
.	.	RNPEPL1 down	RAB26 up
.	.	MAGI1 up	PNP down
.	.	ZNF577 up	ANKFY1 up
.	.	HLA-DQB1 down	RNF217 up
.	.	WDR60 up	FAR2 up
.	.	HLA-DPB1 down	ATP6V0E2 up
.	.	CLCN3 down	SPG11 up
.	.	RPL14 up	IGDCC4 up
.	.	TNIP1 down	TRIM16 down
.	.	BRD8 up	UNCX down
.	.	CHERP up	SPRED1 up
.	.	RFNG down	PES1 down
.	.	MDM4 up	ASB3 up
.	.	RBM48 up	GK down
.	.	LIMA1 down	ASB9 up
.	.	RNF187 down	ATP5SL down
.	.	INPP5K down	PLEKHH1 up
.	.	RBBP4 up	ESRP2 down
.	.	ZBTB22 down	WASH3P up
.	.	RBM26-AS1 up	CNPY4 up
.	.	ZBTB26 up	HDGF down
.	.	APBB1IP down	C5orf42 up
.	.	JDP2 down	MRPL36 down
.	.	CRTC3 up	TYRP1 up
.	.	EIF5B up	MRPL35 down
.	.	LOC100506730 up	UBA2 down
.	.	SRSF1 up	PTRH2 down
.	.	PPP6C down	CREB1 up
.	.	RBM33 down	CHM up
.	.	B4GALT1 up	MRPL39 down
.	.	EPN1 down	FAM69C up
.	.	ZNF581 down	TBL2 down
.	.	PTPN6 down	TBL3 down
.	.	PTPN4 down	KLK6 down
.	.	NAA15 down	KLK9 down
.	.	GNAS up	THOC1 up
.	.	MRPS25 up	THOC7 down
.	.	STK38 up	SYPL1 down
.	.	FARS2 down	APP down
.	.	LOC102724870 up	CSAD up
.	.	MOB3A down	RFX3 up
.	.	SH3GL1 down	IBA57 up
.	.	CHMP6 down	EYA3 down
.	.	JMJD6 up	ELK4 down
.	.	LOC101060835///HLA-DQB1 down	UQCRFS1 down
.	.	GOLGA2 down	ABCE1 down
.	.	MARK4 down	UQCRC2 down
.	.	WBP1L down	STRADA up
.	.	ND6 up	STRADB up
.	.	LOC100128288 up	UQCRC1 down
.	.	ZBED1 down	RECQL5 up
.	.	QSER1 down	PAPLN up
.	.	GUCD1 down	IL10RA down
.	.	TBL1XR1 down	NSDHL down
.	.	SZRD1 down	DCP2 up
.	.	SCARNA15 up	FAM183A up
.	.	PPIG down	LBHD1 down
.	.	GPSM3 down	KHDRBS1 down
.	.	MOSPD3 down	GGCT down
.	.	MAP2K7 down	ZNF593 down
.	.	KIAA1033 down	MDGA2 up
.	.	ANKRD17 down	MED8 down
.	.	SPTBN2 down	MED9 down
.	.	AP3B1 down	CEP95 up
.	.	MINK1 down	ZNF606 up
.	.	WASF2 down	CRY2 up
.	.	NPAS2 up	ZNF609 up
.	.	FKSG49 up	PLCH2 up
.	.	UBE2R2 down	TKT down
.	.	PPP6R1 down	VEZF1 up
.	.	ZDHHC24 down	KAT14 down
.	.	RMND1 up	CAMTA1 up
.	.	LOC101243545///SNORD4A up	KXD1 down
.	.	MIRLET7D up	COLEC12 up
.	.	SGK494 up	TCF4 up
.	.	MAN2B1 down	DLD down
.	.	PSMF1 down	NAXE down
.	.	HBB down	NUDT5 down
.	.	AKT2 down	NUDT7 up
.	.	PI4K2A down	IGFBP1 up
.	.	RPS10-NUDT3///NUDT3 up	IGFBP5 up
.	.	TMEM161B-AS1 up	PHLDB1 up
.	.	ZNF146 up	COL16A1 up
.	.	NAV1 up	PHAX down
.	.	MPST down	MEF2C up
.	.	LOC153682 up	PFN1 down
.	.	SCAMP4 down	MEF2D up
.	.	SCAMP2 down	KDM3B up
.	.	PRRC2C down	TMEM219 up
.	.	NUCB1 down	TRIM2 up
.	.	HSDL1 up	ZNF112 up
.	.	PCGF1 down	COX16 down
.	.	GSK3A down	GAS6 up
.	.	ZKSCAN1 up	NUTF2 down
.	.	ZNF566 up	ZNF337 up
.	.	ELP2 up	EEF1E1 down
.	.	RASSF3 up	ZNF330 up
.	.	SLC25A37 up	FAM168A up
.	.	UBAP1 down	TP53BP2 down
.	.	GRAMD3 up	EIF2B2 down
